,Norm,Value
20,978.4299546883769,"[180.87493515082258, -1.8677541915898137, 257.4976122501843, 0.6425255879362601, 0.2906490133374787, 0.13144676145458725, 0.17049703504812413, 0.5621594114327708, 19.249602022159348, 2.429670858300771, 0.7970861638534044, 0.04539716004958405, -3.676811466618872e-06, 0.8200186702235736, -0.59510593723326, 0.10156078477766055, 0.8379313932007441, 0.21323003296353726]"
21,964.2084904428874,"[180.87493512799364, -1.8730630640341555, 257.4988192553492, 0.6425255879362601, 0.29075296345888546, 0.13144676145458725, 0.17163358875986434, 0.5621594114327708, 19.339838153673323, 2.443195136467507, 0.7970861638534044, 0.045383427820467066, 0.00045417609176095727, 0.8200186702235736, -0.594055944102195, 0.104605300647301, 0.8379313932007441, 0.21323003296353726]"
22,940.4770408215221,"[180.87493508233572, -1.883680808922839, 257.501233265679, 0.6425255879362601, 0.29096086370169894, 0.13144676145458725, 0.17390669618334478, 0.5621594114327708, 19.520310416701278, 2.4702436928009783, 0.7970861638534044, 0.0453559633622331, 0.0013698818982161097, 0.8200186702235736, -0.5919559578400648, 0.11069433238658191, 0.8379313932007441, 0.21323003296353726]"
23,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
24,937.7763777455305,"[180.8749348083883, -1.94738727825494, 257.5157173276576, 0.6425255879362601, 0.29220826515857984, 0.13144676145458725, 0.18754534072422738, 0.5621594114327708, 20.603143994868997, 2.632535030801806, 0.7970861638534044, 0.04519117661282926, 0.006864116736947024, 0.8200186702235736, -0.579356040267284, 0.14722852282226737, 0.8379313932007441, 0.21323003296353726]"
25,940.4770408215221,"[180.87493508233572, -1.883680808922839, 257.501233265679, 0.6425255879362601, 0.29096086370169894, 0.13144676145458725, 0.17390669618334478, 0.5621594114327708, 19.520310416701278, 2.4702436928009783, 0.7970861638534044, 0.0453559633622331, 0.0013698818982161094, 0.8200186702235736, -0.5919559578400648, 0.11069433238658191, 0.8379313932007441, 0.21323003296353726]"
26,912.8154897332006,"[180.8749376862665, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
27,912.8154895866962,"[180.87493499101993, -1.904916270314741, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
28,912.8154899600512,"[180.87493499101993, -1.904916298700206, 257.50606512347787, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
29,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255975106375, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
30,912.8154897331589,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.29137666852917654, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
31,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676341329664, 0.17845291103030564, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
32,912.8154897331628,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291368946123, 0.5621594114327708, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
33,912.8154897331646,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594198095988, 19.881254942757185, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
34,912.8154784205559,"[180.87493499101993, -1.904916298700206, 257.50606128633854, 0.6425255879362601, 0.2913766641873259, 0.13144676145458725, 0.17845291103030564, 0.5621594114327708, 19.88125523901097, 2.524340805467921, 0.7970861638534044, 0.04530103444576515, 0.0032012935111264147, 0.8200186702235736, -0.5877559853158045, 0.12287239586514373, 0.8379313932007441, 0.21323003296353726]"
