         2666047 function calls (2625147 primitive calls) in 2.395 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1202    0.006    0.000    0.013    0.000 _linalg.py:318(solve)
      284    0.001    0.000    0.013    0.000 overrides.py:142(decorator)
        2    0.000    0.000    0.013    0.006 reader.py:1(<module>)
      890    0.001    0.000    0.013    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.012    0.012 _axes.py:65(Axes)
        1    0.000    0.000    0.012    0.012 features.py:1(<module>)
     2982    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.012    0.012 _methods.py:1(<module>)
     2216    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     2835    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.012    0.012 geo.py:1(<module>)
     9724    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.011    0.011 urls.py:1(<module>)
     2394    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        4    0.000    0.000    0.011    0.003 plotter.py:248(__init__)
       17    0.000    0.000    0.011    0.001 dataclasses.py:1264(wrap)
       17    0.001    0.000    0.011    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.011    0.011 fileio.py:1(<module>)
       83    0.005    0.000    0.011    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.011    0.011 _laplacian.py:1(<module>)
     2007    0.004    0.000    0.011    0.000 typing.py:175(_type_check)
      447    0.000    0.000    0.011    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
      304    0.008    0.000    0.010    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.010    0.010 observers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 ExifTags.py:1(<module>)
     2982    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:124(setdefault)
      722    0.006    0.000    0.010    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
      247    0.000    0.000    0.010    0.000 colors.py:735(__init__)
        2    0.000    0.000    0.010    0.005 _array_like.py:1(<module>)
     1597    0.007    0.000    0.010    0.000 inspect.py:3025(__init__)
        1    0.000    0.000    0.010    0.010 textpath.py:1(<module>)
28451/28442    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
        8    0.000    0.000    0.009    0.001 common.py:1(<module>)
    82934    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 _geometric_slerp.py:1(<module>)
      409    0.000    0.000    0.009    0.000 rcsetup.py:332(validate_color)
      774    0.007    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
     3463    0.005    0.000    0.009    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.009    0.005 category.py:1(<module>)
      249    0.001    0.000    0.009    0.000 overrides.py:83(verify_matching_signatures)
      449    0.009    0.000    0.009    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.009    0.009 _vtk_gl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
      412    0.000    0.000    0.009    0.000 colors.py:221(is_color_like)
      270    0.001    0.000    0.009    0.000 _decorators.py:363(decorator)
      598    0.004    0.000    0.009    0.000 tire.py:190(induced_steer)
        1    0.000    0.000    0.009    0.009 test.py:1(<module>)
        2    0.000    0.000    0.009    0.004 rules.py:1(<module>)
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      438    0.000    0.000    0.009    0.000 colors.py:275(to_rgba)
        1    0.000    0.000    0.009    0.009 scale.py:1(<module>)
      195    0.000    0.000    0.009    0.000 parser.py:446(parse_block_mapping_value)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.008    0.008 distance.py:1(<module>)
       10    0.000    0.000    0.008    0.001 themes.py:1769(__init__)
        2    0.000    0.000    0.008    0.004 loader.py:1(<module>)
        9    0.000    0.000    0.008    0.001 base.py:1(<module>)
        3    0.000    0.000    0.008    0.003 _aliases.py:1(<module>)
       39    0.001    0.000    0.008    0.000 typing.py:2809(__new__)
     1288    0.008    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
      169    0.001    0.000    0.008    0.000 colors.py:317(_to_rgba_no_colorcycle)
     2982    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    86997    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
     1650    0.002    0.000    0.008    0.000 colors.py:816(convert_color_channel)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      995    0.004    0.000    0.008    0.000 enum.py:390(__setitem__)
       12    0.000    0.000    0.008    0.001 core.py:1135(parse_string)
        1    0.000    0.000    0.008    0.008 base_events.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _parser.py:1(<module>)
     6274    0.004    0.000    0.008    0.000 typing.py:1215(__setattr__)
     1642    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.008    0.008 server.py:1(<module>)
       10    0.000    0.000    0.008    0.001 exceptions.py:1(<module>)
    65518    0.008    0.000    0.008    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.008    0.004 subprocess.py:1165(communicate)
      970    0.000    0.000    0.008    0.000 artist.py:1542(is_alias)
        2    0.000    0.000    0.007    0.004 subprocess.py:2062(_communicate)
    54/19    0.000    0.000    0.007    0.000 composer.py:99(compose_sequence_node)
      200    0.000    0.000    0.007    0.000 pyplot.py:162(_copy_docstring_and_deprecators)
        2    0.000    0.000    0.007    0.004 _misc.py:1(<module>)
      397    0.001    0.000    0.007    0.000 <frozen abc>:105(__new__)
      465    0.000    0.000    0.007    0.000 scanner.py:668(fetch_plain)
 3003/339    0.002    0.000    0.007    0.000 <frozen abc>:121(__subclasscheck__)
       94    0.000    0.000    0.007    0.000 __init__.py:1399(_preprocess_data)
 3003/339    0.005    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
      143    0.000    0.000    0.007    0.000 _decorators.py:484(__call__)
      100    0.000    0.000    0.007    0.000 pyplot.py:195(_add_pyplot_note)
        5    0.000    0.000    0.007    0.001 selectors.py:402(select)
        5    0.007    0.001    0.007    0.001 {method 'poll' of 'select.poll' objects}
    89756    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.007    0.002 datetimes.py:1(<module>)
       39    0.000    0.000    0.007    0.000 typing.py:2790(_make_nmtuple)
        1    0.000    0.000    0.007    0.007 geometric_objects.py:1(<module>)
        2    0.000    0.000    0.007    0.003 _json.py:1(<module>)
    36181    0.005    0.000    0.007    0.000 _linalg.py:128(isComplexType)
      242    0.000    0.000    0.007    0.000 parser.py:427(parse_block_mapping_key)
      376    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.007    0.007 client.py:1(<module>)
       92    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
    20995    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.006    0.006 accept.py:1(<module>)
      465    0.002    0.000    0.006    0.000 scanner.py:1270(scan_plain)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1(<module>)
     4766    0.003    0.000    0.006    0.000 numerictypes.py:470(issubdtype)
       13    0.000    0.000    0.006    0.000 rcsetup.py:426(validate_font_properties)
        2    0.000    0.000    0.006    0.003 nodes.py:1(<module>)
     1710    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:420(__exit__)
       10    0.000    0.000    0.006    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
      229    0.000    0.000    0.006    0.000 parser.py:476(parse_flow_sequence_entry)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cd.py:1(<module>)
    12265    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
    73/21    0.000    0.000    0.006    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
        1    0.000    0.000    0.006    0.006 mimetypes.py:346(add_type)
        1    0.000    0.000    0.006    0.006 structures.py:1(<module>)
     4176    0.003    0.000    0.006    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.006    0.006 mimetypes.py:363(init)
        1    0.000    0.000    0.006    0.006 series.py:1(<module>)
        6    0.000    0.000    0.006    0.001 version.py:1(<module>)
        2    0.000    0.000    0.006    0.003 types.py:1(<module>)
        1    0.000    0.000    0.006    0.006 utils.py:1379(check_support_sve)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 subprocess.py:506(run)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
   306/12    0.001    0.000    0.006    0.000 core.py:811(_parseNoCache)
      169    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        2    0.000    0.000    0.006    0.003 mimetypes.py:207(read)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
      967    0.001    0.000    0.005    0.000 typing.py:1174(__init__)
        2    0.002    0.001    0.005    0.003 mimetypes.py:218(readfp)
    72/12    0.000    0.000    0.005    0.000 core.py:3994(parseImpl)
        2    0.000    0.000    0.005    0.003 http.py:1(<module>)
    11330    0.003    0.000    0.005    0.000 enum.py:726(__call__)
     1642    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        2    0.000    0.000    0.005    0.003 pickle.py:1(<module>)
      795    0.000    0.000    0.005    0.000 __init__.py:179(sub)
        2    0.000    0.000    0.005    0.003 format.py:1(<module>)
        1    0.000    0.000    0.005    0.005 geometric_sources.py:1(<module>)
        3    0.000    0.000    0.005    0.002 _typing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
      149    0.000    0.000    0.005    0.000 colors.py:885(_from_str)
      239    0.000    0.000    0.005    0.000 colors.py:853(_from_rgba)
     1433    0.000    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.005    0.003 config.py:1(<module>)
    14116    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.005    0.001 util.py:251(_inner)
    32583    0.005    0.000    0.005    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
      149    0.000    0.000    0.005    0.000 colors.py:876(_from_hex)
     1480    0.001    0.000    0.005    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.005    0.005 _minimize.py:1(<module>)
      326    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
        4    0.001    0.000    0.005    0.001 plotter.py:1150(enable_lightkit)
     1433    0.000    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
     1195    0.000    0.000    0.005    0.000 colors.py:862(<genexpr>)
      566    0.001    0.000    0.005    0.000 parser.py:273(parse_node)
      169    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
      189    0.000    0.000    0.005    0.000 typing.py:1476(__getitem__)
        1    0.000    0.000    0.005    0.005 arrays.py:1(<module>)
      457    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
    14516    0.003    0.000    0.005    0.000 _parser.py:261(get)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 describe.py:1(<module>)
        1    0.000    0.000    0.005    0.005 blas.py:1(<module>)
     7248    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        2    0.000    0.000    0.005    0.002 subprocess.py:1(<module>)
        3    0.000    0.000    0.005    0.002 _internal.py:1(<module>)
    46349    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
     1417    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
