,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma,Velocity
229,33.866579745488934,53.533556121365336,911.5587152133805,928.3422186299078,0.20104436657706362,0.16263052602427314,-0.0026941253133248516,0.003998782887833671,-0.00027473165028973467,-0.011047670152647062,0.006069797684062195,-0.005815383146665333,0.3295183979995812
230,31.756529311042755,46.173374739960764,914.7247195276907,927.0104215230097,0.223293720802194,0.18099896691578968,-0.0027388025314076044,0.003979602649335612,-0.0010104639287100972,-0.011674475806595025,0.006054562661107359,-0.005873254901212505,0.15669882218230638
231,-171.15953530812362,-94.76486064817357,972.2953566088552,1037.7004562930056,-0.20337722200201147,-0.24668741310326764,-0.024481249268274444,-0.015419287167640447,0.009034454599922115,0.0048667522236962805,0.008498268671766493,-0.007473352572523806,0.14552817105564517
232,-172.24980018356473,-92.72576239696025,968.5010137965915,1036.5851963925445,-0.1849815305995818,-0.22443797479368557,-0.024424460239408485,-0.015438121707534353,0.008375405947621997,0.00428819874870057,0.008467530452240211,-0.007399283988330692,0.3471295102806288
233,-170.31336709222853,-93.41497418809377,966.9005147839791,1032.7332569111131,-0.1665956334442975,-0.20219567422233348,-0.02440009894758931,-0.015493965045211479,0.007676914489085122,0.0036633446878029424,0.008388006119247383,-0.007355408989920499,0.4132707775481925
234,-167.3230602719666,-87.91148358272198,962.9872651507688,1030.9708678882407,-0.14821355791355495,-0.17993467462182533,-0.02434347544714639,-0.01552002868567522,0.0070861528065481695,0.0030083736261088526,0.008341215302440128,-0.007273556200861855,0.11523268885535433
235,-157.792931272111,-83.05161000562589,961.8230099788707,1025.8029781317532,-0.1298530730163406,-0.15767268186648137,-0.024329048494923827,-0.01559062669364086,0.006500494485763799,0.0022432480044449784,0.008231413567774822,-0.007227288796781748,0.30794137929546883
236,-155.628241992364,-88.52674386371791,963.0446904908539,1020.4776519906443,-0.11146886702468442,-0.13544367973280502,-0.024345461944175945,-0.015666364878208466,0.005722503918549261,0.0016244304238089197,0.0081312119897463,-0.007231918699586895,0.1254339591439404
237,24.41448506365714,-152.57799291066829,1128.4466256260775,976.8851057743897,-0.09351596006769967,-0.11338593684359907,-0.026656341051774526,-0.016290828334891098,0.004410146367194169,-0.001902956969311578,0.007933269395446627,-0.010409738389706961,0.11396107075729106
238,33.907864807452256,-13.550405019954837,780.4759465501149,739.8068725776508,-0.07509054945388838,-0.09081687967485318,-0.021599581361727224,-0.019808047454517624,0.006094444020874574,-0.002944157906173886,0.002164581564950763,-0.0028636521471333705,0.16702436844317867
