heave,roll,IA_change
-0.02032,0.010471976,0.013613568
-0.01778,0.010471976,0.011170107
-0.01524,0.010471976,0.008726646
-0.0127,0.010471976,0.006108652
-0.01016,0.010471976,0.003665191
-0.00762,0.010471976,0.001047198
-0.00508,0.010471976,-0.001570796
-0.00254,0.010471976,-0.00418879
0,0.010471976,-0.006806784
0.00254,0.010471976,-0.009424778
0.00508,0.010471976,-0.012042772
0.00762,0.010471976,-0.014835299
0.01016,0.010471976,-0.017453293
0.0127,0.010471976,-0.020245819
0.01524,0.010471976,-0.023038346
0.01778,0.010471976,-0.025830873
0.02032,0.010471976,-0.0286234
0.02286,0.010471976,-0.031415927
0.0254,0.010471976,-0.034382986
0.02794,0.010471976,-0.037175513
0.03048,0.010471976,-0.040142573
0.03302,0.010471976,-0.043109633
0.03556,0.010471976,-0.046076692
0.0381,0.010471976,-0.049043752
0.04064,0.010471976,-0.052010812
0.04318,0.010471976,-0.055152404
0.04572,0.010471976,-0.058119464
0.04826,0.010471976,-0.061261057
0.0508,0.010471976,-0.064402649
-0.0508,0.008726646,0.043109633
-0.04826,0.008726646,0.040840704
-0.04572,0.008726646,0.038571776
-0.04318,0.008726646,0.036302848
-0.04064,0.008726646,0.033859387
-0.0381,0.008726646,0.031590459
-0.03556,0.008726646,0.029321531
-0.03302,0.008726646,0.02687807
-0.03048,0.008726646,0.02443461
-0.02794,0.008726646,0.022165682
-0.0254,0.008726646,0.019722221
-0.02286,0.008726646,0.01727876
-0.02032,0.008726646,0.014835299
-0.01778,0.008726646,0.012217305
-0.01524,0.008726646,0.009773844
-0.0127,0.008726646,0.007330383
-0.01016,0.008726646,0.004712389
-0.00762,0.008726646,0.002094395
-0.00508,0.008726646,-0.000349066
-0.00254,0.008726646,-0.00296706
0,0.008726646,-0.005585054
0.00254,0.008726646,-0.008203047
0.00508,0.008726646,-0.010995574
0.00762,0.008726646,-0.013613568
0.01016,0.008726646,-0.016406095
0.0127,0.008726646,-0.019024089
0.01524,0.008726646,-0.021816616
0.01778,0.008726646,-0.024609142
0.02032,0.008726646,-0.027401669
0.02286,0.008726646,-0.030194196
0.0254,0.008726646,-0.033161256
0.02794,0.008726646,-0.035953783
0.03048,0.008726646,-0.038920842
0.03302,0.008726646,-0.041713369
0.03556,0.008726646,-0.044680429
0.0381,0.008726646,-0.047647489
0.04064,0.008726646,-0.050789081
0.04318,0.008726646,-0.053756141
0.04572,0.008726646,-0.056897734
0.04826,0.008726646,-0.059864793
0.0508,0.008726646,-0.063006386
-0.0508,0.006981317,0.043982297
-0.04826,0.006981317,0.041713369
-0.04572,0.006981317,0.039444441
-0.04318,0.006981317,0.037175513
-0.04064,0.006981317,0.034906585
-0.0381,0.006981317,0.032637657
-0.03556,0.006981317,0.030194196
-0.03302,0.006981317,0.027925268
-0.03048,0.006981317,0.025481807
-0.02794,0.006981317,0.023212879
-0.0254,0.006981317,0.020769418
-0.02286,0.006981317,0.018325957
-0.02032,0.006981317,0.015882496
-0.01778,0.006981317,0.013439035
-0.01524,0.006981317,0.010821041
-0.0127,0.006981317,0.00837758
-0.01016,0.006981317,0.005759587
-0.00762,0.006981317,0.003316126
-0.00508,0.006981317,0.000698132
-0.00254,0.006981317,-0.001919862
0,0.006981317,-0.004537856
0.00254,0.006981317,-0.00715585
0.00508,0.006981317,-0.009773844
0.00762,0.006981317,-0.012391838
0.01016,0.006981317,-0.015184364
0.0127,0.006981317,-0.017976891
0.01524,0.006981317,-0.020594885
0.01778,0.006981317,-0.023387412
0.02032,0.006981317,-0.026179939
0.02286,0.006981317,-0.028972466
0.0254,0.006981317,-0.031939525
0.02794,0.006981317,-0.034732052
0.03048,0.006981317,-0.037699112
0.03302,0.006981317,-0.040491639
0.03556,0.006981317,-0.043458698
0.0381,0.006981317,-0.046425758
0.04064,0.006981317,-0.049392818
0.04318,0.006981317,-0.05253441
0.04572,0.006981317,-0.05550147
0.04826,0.006981317,-0.058643063
0.0508,0.006981317,-0.061784656
-0.0508,0.005235988,0.045029495
-0.04826,0.005235988,0.042760567
-0.04572,0.005235988,0.040491639
-0.04318,0.005235988,0.038222711
-0.04064,0.005235988,0.035953783
-0.0381,0.005235988,0.033684855
-0.03556,0.005235988,0.031241394
-0.03302,0.005235988,0.028972466
-0.03048,0.005235988,0.026529005
-0.02794,0.005235988,0.024260077
-0.0254,0.005235988,0.021816616
-0.02286,0.005235988,0.019373155
-0.02032,0.005235988,0.016929694
-0.01778,0.005235988,0.014486233
-0.01524,0.005235988,0.011868239
-0.0127,0.005235988,0.009424778
-0.01016,0.005235988,0.006981317
-0.00762,0.005235988,0.004363323
-0.00508,0.005235988,0.001745329
-0.00254,0.005235988,-0.000698132
0,0.005235988,-0.003316126
0.00254,0.005235988,-0.005934119
0.00508,0.005235988,-0.008726646
0.00762,0.005235988,-0.01134464
0.01016,0.005235988,-0.013962634
0.0127,0.005235988,-0.016755161
0.01524,0.005235988,-0.019547688
