index,RL RPM,RL Potential Fx [N],RR RPM,RR Potential Fx  [N],,Differential RPM,RL Torque Potential [Nm],RR Torque Potential [Nm],Combined Axle Torque [Nm],,,,,,,,tire radius [m]
250.00,980.23,1739.07,980.23,2300.55,,980.2328222,353.3799837,467.4717086,820.8516923,,,,,,,,
89.00,982.80,1272.84,982.80,1587.88,,982.7993512,258.641853,322.6573485,581.2992016,,,,,,,,
178.00,983.04,1672.15,983.04,2142.05,,983.0421208,339.7810628,435.2651629,775.0462257,,,,,,,,
224.00,985.41,1766.09,985.41,2301.05,,985.4072127,358.8695496,467.5734217,826.4429713,,,,,,,,
251.00,986.72,1725.50,986.72,2297.72,,986.7208557,350.6205948,466.8976217,817.5182165,,,,,,,,
2.00,991.67,915.66,991.67,1085.69,,991.6713755,186.0624079,220.6128699,406.6752778,,,,,,,,
236.00,992.45,2305.70,992.45,1729.50,,992.4500835,468.5176193,351.4337286,819.9513479,,,,,,,,
235.00,1001.16,2303.81,1001.16,1713.98,,1001.157999,468.1347905,348.2812364,816.4160269,,,,,,,,
231.00,1001.45,2282.70,1001.45,1681.38,,1001.451314,463.8441228,341.6568146,805.5009374,,,,,,,,
232.00,1003.94,2288.87,1003.94,1687.19,,1003.938891,465.0988235,342.8375688,807.9363923,,,,,,,,
396.00,1004.10,1502.02,1004.10,1228.82,,1004.099838,305.2112146,249.6964733,554.9076879,,,,,,,,
234.00,1004.80,2299.77,1004.80,1702.62,,1004.796963,467.3136091,345.9728597,813.2864688,,,,,,,,
233.00,1005.27,2294.57,1005.27,1694.05,,1005.274842,466.2563469,344.2316228,810.4879697,,,,,,,,
352.00,1006.79,1801.64,1006.79,1427.49,,1006.787521,366.0933247,290.0667272,656.1600519,,,,,,,,
201.00,1008.93,1716.85,1008.93,2249.32,,1008.928083,348.8633666,457.0619289,805.9252956,,,,,,,,
374.00,1017.57,1652.35,1017.57,1320.17,,1017.565154,335.7571357,268.2586139,604.0157496,,,,,,,,
261.00,1027.21,2291.88,1027.21,1710.26,,1027.210738,465.710443,347.5244156,813.2348586,,,,,,,,
24.00,1033.87,978.33,1033.87,1200.00,,1033.866751,198.7970679,243.8407916,442.6378595,,,,,,,,
307.00,1038.32,2099.12,1038.32,1592.43,,1038.321648,426.5410343,323.5811841,750.1222184,,,,,,,,
225.00,1040.90,1714.32,1040.90,2320.49,,1040.900411,348.3501733,471.5230649,819.8732382,,,,,,,,
156.00,1042.39,1542.26,1042.39,2038.11,,1042.387637,313.3872894,414.1433054,727.5305949,,,,,,,,
439.00,1053.53,1237.61,1053.53,1028.00,,1053.528846,251.4822091,208.8888629,460.371072,,,,,,,,
284.00,1056.33,2221.61,1056.33,1645.64,,1056.332907,451.4308818,334.3936875,785.8245694,,,,,,,,
46.00,1062.58,1048.64,1062.58,1326.19,,1062.583766,213.0845306,269.4808012,482.5653318,,,,,,,,
260.00,1072.40,2306.59,1072.40,1663.62,,1072.403086,468.6982476,338.0479165,806.7461642,,,,,,,,
226.00,1076.67,1674.80,1076.67,2331.34,,1076.669182,340.318414,473.7280182,814.0464322,,,,,,,,
134.00,1077.53,1420.30,1077.53,1906.67,,1077.525634,288.6039723,387.4363577,676.04033,,,,,,,,
68.00,1083.48,1126.10,1083.48,1463.75,,1083.477728,228.8236275,297.4336267,526.2572541,,,,,,,,
329.00,1086.57,1974.81,1086.57,1467.72,,1086.571966,401.2808355,298.2416618,699.5224973,,,,,,,,
179.00,1086.95,1589.12,1086.95,2179.60,,1086.954479,322.9091799,442.8945827,765.8037626,,,,,,,,
202.00,1087.34,1646.42,1087.34,2278.61,,1087.335356,334.5522626,463.0145094,797.5667719,,,,,,,,
112.00,1093.64,1310.26,1093.64,1760.42,,1093.640134,266.2439214,357.7166111,623.9605325,,,,,,,,
90.00,1094.65,1212.63,1094.65,1610.13,,1094.652843,246.4065973,327.1791247,573.585722,,,,,,,,
417.00,1098.60,1373.66,1098.60,1089.59,,1098.603065,279.1286317,221.4051969,500.5338286,,,,,,,,
227.00,1099.30,1645.08,1099.30,2336.25,,1099.297632,334.2795632,474.7267938,809.006357,,,,,,,,
259.00,1101.25,2314.25,1101.25,1628.53,,1101.251376,470.2563481,330.9165722,801.1729203,,,,,,,,
